LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"d $350,000-1 million","'EKAHI CARE MANAGEMENT, LLC",500 Ala Moana Blvd. Suite 6-D,HONOLULU,HI,96813,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,04/03/2020,"American Savings Bank, FSB",HI-01
"d $350,000-1 million",'EKAHI INTEGRATED PRACTICES CENTRAL LLC,321 N Kuakini St STE 201,HONOLULU,HI,96817,621112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,57,04/03/2020,"American Savings Bank, FSB",HI-01
"e $150,000-350,000",'EPICUREAN CATERING INC,4650 W Post Road Ste 115,LAS VEGAS,NV,89118,424990,Corporation,Asian,Male Owned,Unanswered,,47,04/16/2020,"Zions Bank, A Division of",NV-03
"d $350,000-1 million","'HIS' CHICKEN K.N.E.S.T., LLC",643 LITTLE ELM CREEK RD,GUNTER,TX,75058,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,129,04/14/2020,Peoples Bank and Trust Company,TX-04
c $1-2 million,"(A) TOOL SHED, INC.",3700 Soquel Ave.,SANTA CRUZ,CA,95062,532420,Corporation,Unanswered,Unanswered,Unanswered,,90,04/15/2020,Bank of the West,CA-20
"e $150,000-350,000","(MP)2 STRUCTURAL ENGINEERS, LLC","583 Donofrio Drive, Ste 201",MADISON,WI,53719,541330,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,11,04/14/2020,Capitol Bank,WI-02
"e $150,000-350,000",(THE) DEPOT INC,201 W RAILROAD ST,MISSOULA,MT,59802,722511,Corporation,White,Male Owned,Non-Veteran,,53,04/11/2020,First Interstate Bank,MT-00
"e $150,000-350,000",@GLAZED LLC,3039 HIGHWAY 165 BYP,MONROE,LA,71202,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,08/08/2020,MBE Capital Partners,LA-05
"d $350,000-1 million",@HEALTH MEDICAL MANAGEMENT INC.; A DELAWARE CORPORATION,224 N. Fair OIaks Ave.,PASADENA,CA,91103,561110,Corporation,Unanswered,Unanswered,Unanswered,,38,04/08/2020,First-Citizens Bank & Trust Company,CA-27
"e $150,000-350,000",@HOME MEDICAL INC,324 St Lukes Dr,MONTGOMERY,AL,36117,621610,Corporation,Unanswered,Unanswered,Unanswered,,18,04/28/2020,Renasant Bank,AL-02
"d $350,000-1 million",@LLINK SERVICES LLC,13431 N BROADWAY EXT Suite 150,OKLAHOMA CITY,OK,73114,517312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,118,04/10/2020,RCB Bank,OK-05
"d $350,000-1 million","@SOUTHWEST LOUISIANA INDEPENDENCE CENTER, INC",4320 LAKE ST,LAKE CHARLES,LA,70605,624120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,264,04/27/2020,"JPMorgan Chase Bank, National Association",LA-03
"e $150,000-350,000",@X1 COMPUTER CORPORATION,980 CALLE NEGOCIO,SAN CLEMENTE,CA,92673,541512,Corporation,Unanswered,Unanswered,Unanswered,,17,04/27/2020,CTBC Bank Corp. (USA).,CA-49
"d $350,000-1 million",@YOURGATE LLC,4 HALF MOON TRAIL,LADERA RANCH,CA,92694,492210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,61,04/16/2020,CommerceWest Bank,CA-49
"d $350,000-1 million","***TIMBERLANE AD-DENT, PLC",60 TIMBER LANE,SOUTH BURLINGTON,VT,5403,621210,Partnership,Unanswered,Unanswered,Unanswered,,68,04/28/2020,"People's United Bank, National Association",VT-00
"d $350,000-1 million","***TIMBERLANE DENTAL ASSOCIATES, PLC",60 TIMBER LN,SOUTH BURLINGTON,VT,5403,621210,Partnership,Unanswered,Unanswered,Unanswered,,67,04/27/2020,"People's United Bank, National Association",VT-00
"e $150,000-350,000","*EM ENTERPRISES, INC/SAVWAY",3821 S. YORK RD,OAK BROOK,IL,60523,445310,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,0,04/28/2020,The Northern Trust Company,IL-06
"e $150,000-350,000","&#XC7;ONTINENTAL FREIGHT FORWARDING, INC",1850 NW 84 Ave Suite 100,Doral,FL,33126,488999,Corporation,Unanswered,Unanswered,Unanswered,,24,04/27/2020,"BankUnited, National Association",FL-27
"e $150,000-350,000",&PARTNERS,1200 18th Street NW Suite 700,Washington,DC,20036,541519,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,7,04/15/2020,Manufacturers and Traders Trust Company,DC-00
"e $150,000-350,000","&YET, LLC",723 The Parkway Suite &,RICHLAND,WA,99352,541511,Corporation,White,Male Owned,Unanswered,,11,04/10/2020,Banner Bank,WA-04
"d $350,000-1 million","# 1 TOP SCHOOL, LLC",2704 OLD ROSEBUD RD Ste 130,LEXINGTON,KY,40509,611310,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,22,04/13/2020,Republic Bank & Trust Company,KY-06
b $2-5 million,#1 COCHRAN BUICK GMC INC,4520 William Penn Highway,Monroeville,PA,15146,441110,Corporation,Unanswered,Unanswered,Unanswered,,271,04/14/2020,Manufacturers and Traders Trust Company,PA-18
"e $150,000-350,000","#1 NORTH AMERICAN INVESTMENT COMPANY, LLC",19 Synthia Court,Sacramento,CA,95823,531390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,05/27/2020,Cache Valley Bank,CA-06
"e $150,000-350,000",#1 QUALITY ELECTRIC INC,22784 SAN MIGUEL ST,HARLINGEN,TX,78552,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,22,05/01/2020,Texas Regional Bank,TX-34
"e $150,000-350,000","#3 ZIMMIES, INC.",1358 E 47th St,Chicago,IL,60653,722511,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,33,04/14/2020,First Midwest Bank,IL-01
"e $150,000-350,000","#4429, INC.",2710 WATSON BLVD,WARNER ROBINS,GA,31093,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,50,05/03/2020,"Bank of America, National Association",GA-08
"e $150,000-350,000","#7 ZIMMIES, INC.",22 E Bellevue Pl,Chicago,IL,60611,722511,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,24,04/12/2020,First Midwest Bank,IL-07
"e $150,000-350,000","#8 ZIMMIES, INC.",616 W Diversey Pkwy,Chicago,IL,60614,722511,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,19,04/14/2020,First Midwest Bank,IL-05
"e $150,000-350,000",#DENVERSTRONG LLC,17732 E PRESCOTT PL,Gilbert,AZ,85298,812320,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,48,04/30/2020,First-Citizens Bank & Trust Company,AZ-05
"e $150,000-350,000","#MYBLUESKY, LLC",1285 E MONTCLAIR ST,SPRINGFIELD,MO,65804,442110,Limited  Liability Company(LLC),White,Male Owned,Veteran,,30,04/06/2020,Guaranty Bank,MO-07
"e $150,000-350,000",%-L SALES AND SERVICE LLC,2902 Cactus,DENVER CITY,TX,79323,212321,Limited  Liability Company(LLC),Hispanic,Male Owned,Unanswered,,15,04/11/2020,First United Bank,TX-19
"e $150,000-350,000","+ F, INC",102 Wonder World Dr,SAN MARCOS,TX,78666,722511,Corporation,White,Male Owned,Non-Veteran,,79,04/06/2020,Ozona National Bank,TX-25
"d $350,000-1 million",+42 W 35TH HOLDINGS LLC,430 PARK AVE 15th Floor,NEW YORK,NY,10022,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,45,04/08/2020,First Home Bank,NY-12
"d $350,000-1 million",+VANTAGE CORPORATION,12651 NEWBURGH RD,LIVONIA,MI,48150,334519,Corporation,Unanswered,Unanswered,Unanswered,,40,04/06/2020,First Merchants Bank,MI-11
"e $150,000-350,000",001 DEBTORCC INC,378 SUMMIT AVE,JERSEY CITY,NJ,7306,611699,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,31,05/03/2020,"Bank of America, National Association",NJ-10
"e $150,000-350,000",012 GLOBAL INC,2333 N State Rd 7 Suite E,Margate,FL,33063,517919,Corporation,Unanswered,Unanswered,Unanswered,,32,04/16/2020,Cross River Bank,FL-22
"e $150,000-350,000",02NEAL MEDICAL INC.,240 CAHABA VALLEY PKWY,PELHAM,AL,35124,532283,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,19,04/27/2020,Troy Bank & Trust Company,AL-06
"d $350,000-1 million",03 TECHNOLOGIES LLC,1030 HAMPTON PARK BLVD Ste 100,CAPITOL HEIGHTS,MD,20743,812320,Subchapter S Corporation,Black or African American,Male Owned,Non-Veteran,,123,04/09/2020,"WesBanco Bank, Inc.",MD-04
"e $150,000-350,000",03 TECHNOLOGY SOLUTIONS LLC,1411 BROADWAY 6th Floor,NEW YORK,NY,10018,541511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,Financial Resources FCU,NY-12
"e $150,000-350,000",04/01/2002,68 WHITE ST STE 2,Red Bank,NJ,7701,541511,Partnership,Unanswered,Unanswered,Unanswered,,0,04/15/2020,"TD Bank, National Association",NJ-06
"e $150,000-350,000","0464 OF VERO, INC.",770 8TH CT UNIT 2,VERO BEACH,FL,32962,561990,Corporation,Unanswered,Unanswered,Unanswered,,25,05/03/2020,"Bank of America, National Association",FL-08
"d $350,000-1 million","06 ENVIRONMENTAL, LLC",6311 Bartmer Industrial Drive,St. Louis,MO,63130,562910,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,27,04/09/2020,Parkside Financial Bank & Trust,MO-01
"e $150,000-350,000",07 ENERGY CO LLC,10118 Mink Ln,MARIETTA,OK,73448,484220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,04/13/2020,BancFirst,OK-04
"e $150,000-350,000",080 STUDIO INC.,2804 N 36TH ST,TAMPA,FL,33605,339999,Corporation,Unanswered,Unanswered,Unanswered,,16,04/09/2020,"JPMorgan Chase Bank, National Association",FL-14
"e $150,000-350,000",0965688 BC LTD,3600 136th Place Southeast 300,Bellevue,WA,98006,541990,Corporation,Unanswered,Unanswered,Unanswered,,11,04/16/2020,Cross River Bank,WA-09
"e $150,000-350,000",0CHAIN LLC,10425 DEMPSTER AVE,CUPERTINO,CA,95014,518210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/27/2020,KeyPoint CU,CA-17
"e $150,000-350,000",1 2 3 MEDICAL TRANSPORT LLC,40 REVEREND ROBERTS PL,NUTLEY,NJ,7110,621910,Corporation,Unanswered,Unanswered,Unanswered,,36,05/01/2020,"JPMorgan Chase Bank, National Association",NJ-11
"d $350,000-1 million",1 800 BUSY DOG BASEMENT TECHNOLOGIES,3 EDGEWATER DR,NORWOOD,MA,2062,238990,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,58,04/14/2020,"TD Bank, National Association",MA-08
c $1-2 million,1 800 HEATERS INC,2 GOURMET LN  UNIT H,EDISON,NJ,8837,238220,Corporation,Unanswered,Unanswered,Unanswered,,98,04/11/2020,"TD Bank, National Association",NJ-06
"e $150,000-350,000","1 ACCORD CONSULTING, LLC",8014C hAMMOCK lane,pasadena,MD,21122,541330,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,10,04/15/2020,Manufacturers and Traders Trust Company,MD-03
c $1-2 million,"1 ALLIANCE GEOMATICS, LLC",1261A 120th Ave NE /,Bellevue,WA,98005,541370,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,68,04/15/2020,Columbia State Bank,WA-09
"e $150,000-350,000","1 AMERICAN FACILITY SOLUTIONS, LLC",102 STATON CT STE D,GREENVILLE,NC,27834,811490,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/14/2020,United Bank,NC-01
"e $150,000-350,000",1 BETTER LLC,919 W ST GERMAIN STREET SUITE 2000,SAINT CLOUD,MN,56301,541810,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,,04/27/2020,Americana Community Bank,MN-06
c $1-2 million,"1 BOX HOLDING, LLC",2124 Harden Blvd,LAKELAND,FL,33803,523999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,391,04/06/2020,Prime Meridian Bank,FL-15
"e $150,000-350,000",1 CALL CONTRACTORS LLC,1032 PO BOX 1032,COWETA,OK,74429,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,24,04/05/2020,BancFirst,OK-01
"e $150,000-350,000","1 CALL STAFFING COMMERCIAL SERVICES, INC.",4311 ELYSIAN FIELDS AVE,MARSHALL,TX,75672,561320,Corporation,Unanswered,Unanswered,Unanswered,,37,04/14/2020,Texas Bank and Trust Company,TX-01
"e $150,000-350,000","1 CLIENT MATTERS, LLC",971 IRIS ST,MANCHESTER,NH,3102,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,04/07/2020,Triangle CU,NH-01
"e $150,000-350,000","1 DLM, INC",2043 Central Park Dr,WINTERVILLE,NC,28590,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,18,04/08/2020,Dogwood State Bank,NC-03
"d $350,000-1 million",1 ELECTRIC LLC,PO BOX 13657,ATLANTA,GA,30324,238210,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,35,04/08/2020,Synovus Bank,GA-05
"d $350,000-1 million",1 EXPRESS TRANSPORT LLC,12941 NORTH FWY Ste 433,HOUSTON,TX,77060,541614,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,81,04/28/2020,The First Liberty National Bank,TX-29
"e $150,000-350,000",1 FACTORY RADIO LLC,2101 REYMET ROAD,NORTH CHESTERFIELD,VA,23237,441310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",VA-04
"e $150,000-350,000","1 FAMILY SERVICES IN INDIAN COUNTRY, LLC",1829 N YORK ST,MUSKOGEE,OK,74403,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,04/14/2020,Arvest Bank,OK-02
"d $350,000-1 million",1 FOOT 2 FOOT CENTRE FOR FOOT AND ANKLE CARE P.C.,171 North Main Street,SUFFOLK,VA,23434,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/07/2020,Towne Bank,VA-04
"e $150,000-350,000","1 FOR THE PLANET, INC.",47 MAPLE ST Suite 103,BURLINGTON,VT,5401,813410,Professional Association,Unanswered,Unanswered,Unanswered,,15,04/08/2020,"TD Bank, National Association",VT-00
"e $150,000-350,000",1 GUN RANCH LP,22634 MANSIE RD,MALIBU,CA,90265,424930,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,22,04/30/2020,Citizens Business Bank,CA-33
"e $150,000-350,000",1 HEART HOME HEALTH CARE LLC,6611 Frankford Avenue Suite 1,Philadelphia,PA,19135,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,120,04/27/2020,American Heritage FCU,PA-02
"e $150,000-350,000","1 HOUR SIGNS, INC.",251 Fortune Blvd,Midway,FL,32343,339950,Subchapter S Corporation,White,Unanswered,Non-Veteran,,31,04/08/2020,Capital City Bank,FL-05
"e $150,000-350,000",1 INC.,4021 Mandeville Canyon Rd,Los Angeles,CA,90049,511210,Corporation,Unanswered,Unanswered,Unanswered,,10,04/15/2020,Silicon Valley Bank,CA-30
"d $350,000-1 million",1 INDUSTRIAL RESOURCES INC,1 INDUSTRIAL CONTRACTING RD,FAIRMONT,WV,26554,238990,Corporation,White,Male Owned,Non-Veteran,,61,04/14/2020,"Premier Bank, Inc.",WV-01
"d $350,000-1 million",1 JOHN VENTURES LLC,1 JOHN ST,BROOKLYN,NY,11201,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,56,04/27/2020,The Bank of Greene County,NY-07
"d $350,000-1 million",1 KB & MS LLC,1 KEIFFER LN,KINGSTON,NY,12401,561990,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,0,04/28/2020,Signature Bank,NY-19
"e $150,000-350,000",1 MEMORIAL LLC,30-40 MAIN ST,PATERSON,NJ,7505,445110,Corporation,Hispanic,Male Owned,Unanswered,,0,04/27/2020,Ponce Bank,NJ-09
"e $150,000-350,000",1 METHOD LLC,10254 BANNOCKBURN DRIVE,LOS ANGELES,CA,90064,621491,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,05/01/2020,"JPMorgan Chase Bank, National Association",CA-37
"e $150,000-350,000",1 MICO 12 LLP,5944 LUTHER LN suite 950,DALLAS,TX,75225,722511,Partnership,Unanswered,Unanswered,Unanswered,,20,04/16/2020,Frost Bank,TX-32
"d $350,000-1 million","1 MODEL MANAGEMENT, LLC",42 Bond Street 2nd Floor,New York,NY,10012,711410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,04/09/2020,"JPMorgan Chase Bank, National Association",NY-12
"e $150,000-350,000","1 NATURAL WAY, LLC",4064 Technology Drive,MAUMEE,OH,43537,423450,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,04/03/2020,"Signature Bank, National Associatioin",OH-05
"d $350,000-1 million","1 ON 1 KF HOMES, INC.",9888 BISSONET ST,HOUSTON,TX,77036,236118,Corporation,Hispanic,Male Owned,Non-Veteran,,68,04/29/2020,BBVA USA,TX-07
"d $350,000-1 million","1 OPAL, INC.",5121 Gulf Dr,PANAMA CITY,FL,32408,722110,Corporation,White,Male Owned,Non-Veteran,,92,04/27/2020,First National Bank Northwest Florida,FL-02
"d $350,000-1 million","1 PAYROLL SERVICES, LLC",14100 San Pedro Ave Ste 618,SAN ANTONIO,TX,78232,541219,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30,05/01/2020,"JPMorgan Chase Bank, National Association",TX-21
"e $150,000-350,000","1 PERRY, LLC",1 Perry Street 0.0,New York,NY,10014,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,42,04/10/2020,"JPMorgan Chase Bank, National Association",NY-10
"e $150,000-350,000","1 PERSON AT A TIME, LLC",6425 LIVING PL STE 200,PITTSBURGH,PA,15206,561311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,51,05/03/2020,"Bank of America, National Association",PA-18
"e $150,000-350,000","1 PEZA, INC",56 -15 NORTHERN BLVD 2ND FL,WOODSIDE,NY,11377,711320,Corporation,Unanswered,Male Owned,Unanswered,,40,04/14/2020,City National Bank,NY-14
c $1-2 million,1 PONCE DE LEON LLC,4101 N OCEAN BLVD APT D702,BOCA RATON,FL,33431,531210,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,16,06/26/2020,"Kabbage, Inc.",FL-22
b $2-5 million,"1 PRIORITY ENVIRONMENTAL SERVICES, LLC",4028 Daley Avenue,NORTH RICHLAND HILLS,TX,76180,562910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,267,04/13/2020,Veritex Community Bank,TX-12
"e $150,000-350,000","1 SOURCE AUTO BOUTIQUE, LLC",14399 SW 143RD CT,MIAMI,FL,33186,811121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/08/2020,Truist Bank d/b/a Branch Banking & Trust Co,FL-26
"e $150,000-350,000","1 SOURCE BUSINESS SOLUTIONS, LLC",6966 S COMMERCE PARK DR,MIDVALE,UT,84047,541214,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,25,04/07/2020,Bank of Utah,UT-04
b $2-5 million,"1 SOURCE CONSULTING, INC.",1250 H Street NWSuite 310,Washington,DC,20005,541519,Corporation,Unanswered,Male Owned,Non-Veteran,,0,04/14/2020,Live Oak Banking Company,DC-00
"e $150,000-350,000",1 SOURCE HOLDINGS LLC,12550 W FRONTAGE RD,BURNSVILLE,MN,55337,424120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/08/2020,"Associated Bank, National Association",MN-02
"e $150,000-350,000",1 SOURCE LIFTS & EQUIPMENT LLC,3920 NW 39th Street 0.0,Oklahoma City,OK,73112,238290,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,04/10/2020,"JPMorgan Chase Bank, National Association",OK-05
"d $350,000-1 million",1 SOURCE SAFETY AND HEALTH INC,140 S. VILLAGE AVE Suite 130,EXTON,PA,19341,541690,Subchapter S Corporation,White,Male Owned,Non-Veteran,,27,04/15/2020,S & T Bank,PA-06
"e $150,000-350,000",1 SOURCE SENIOR CARE LLC,1820 Shelby Lane,FAYETTEVILLE,AR,72704,624120,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,82,04/08/2020,First Oklahoma Bank,AR-03
"e $150,000-350,000","1 SOURCE, LLC",3240 MOFFETT RD,MOBILE,AL,36607,811310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/06/2020,ServisFirst Bank,AL-01
"d $350,000-1 million",1 STONE SOLUTIONS LLC,1334 Brittmore Rd #270,HOUSTON,TX,77043,561720,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,82,04/09/2020,"Texas Citizens Bank, National Association",TX-02
"e $150,000-350,000",1 STOP COMPLIANCE LLC,3130 N Arizona Ave Suite 112,Chandler,AZ,85225,541690,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/10/2020,MidFirst Bank,AZ-09
c $1-2 million,1 STOP ELECTRONICS CENTER INC,1870 Bath Avenue,Brooklyn,NY,11214,425110,Corporation,Unanswered,Male Owned,Non-Veteran,,118,04/15/2020,Popular Bank,NY-08
"e $150,000-350,000","1 STOP LANDSCAPE SUPPLY & YARD WASTE RECYCLING FACILITY, INC",3207 71st avenue e,SARASOTA,FL,34243,541320,Corporation,White,Male Owned,Non-Veteran,,19,04/06/2020,Freedom Bank,FL-16
"d $350,000-1 million","1 STOP MONEY CENTERS, LLC",2633 E Indian School Rd Suite 355,PHOENIX,AZ,85016,522390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,75,04/05/2020,Evolve Bank & Trust,AZ-09
"e $150,000-350,000","1 STOP POOL PROS #1, INC.",1721 COMMERCE ST,CORONA,CA,92880,561790,Corporation,Unanswered,Female Owned,Non-Veteran,,35,06/26/2020,"JPMorgan Chase Bank, National Association",CA-42
"e $150,000-350,000","1 STOP POOL PROS #5, INC.",7940 Silverton Avenue,San Diego,CA,92126,561790,Corporation,Unanswered,Unanswered,Unanswered,,19,06/25/2020,Fountainhead SBF LLC,CA-52
"e $150,000-350,000",1 STOP STAFFING INC,"2525 Route 130 Building A, Suite 2",Cranbury,NJ,8512,561320,Corporation,White,Female Owned,Non-Veteran,,76,04/14/2020,Savoy Bank,NJ-12
"e $150,000-350,000","1 STOP UTILITY &AMP; CONSTRUCTION SERVICES,  LLC",6870 MORRISON DR,DENVER,CO,80221,237110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,05/01/2020,"JPMorgan Chase Bank, National Association",CO-01
"e $150,000-350,000","1 SYNC TECHNOLOGIES, LLC",2770 BELL RD Suite 7,MONTGOMERY,AL,36117,541511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,24,04/07/2020,ServisFirst Bank,AL-02
"e $150,000-350,000","1 THIRTY-NINE, INC.",20100 W 92ND ST,LENEXA,KS,66220,722513,Corporation,Unanswered,Unanswered,Unanswered,,52,04/05/2020,NBKC Bank,KS-03
"e $150,000-350,000",1 TRADE FWDNG INC,1215 Metroplace Dr Ste 400,DALLAS,TX,75261,488510,Corporation,Unanswered,Unanswered,Unanswered,,12,04/28/2020,"Bank of America, National Association",TX-24
"d $350,000-1 million","1 TRICK PONY, LLC",251 BELLEVUE AVE,HAMMONTON,NJ,8037,448150,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,04/28/2020,Hyperion Bank,NJ-02
"e $150,000-350,000",1 UP NUTRITION LLC,50 S POINTE DR APT 1907,MIAMI BEACH,FL,33139,621999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,92,05/03/2020,"Bank of America, National Association",FL-24
"d $350,000-1 million",1 VISION AVIATION PLLC,KEOKUK AVE,SIOUX CITY,IA,51111,488190,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,89,04/04/2020,Primebank,IA-04
"e $150,000-350,000",1 VISION SC,150 A COUNTY ROAD B,SHAWANO,WI,54166,621320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,04/10/2020,AbbyBank,WI-08
"e $150,000-350,000",1 VOICE FLEET TRUCKING COMPANY LLC,1400 BROADFIELD BLVD STE 200,HOUSTON,TX,77084,484220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,08/08/2020,MBE Capital Partners,TX-07
"d $350,000-1 million",1 W LIBERTY LLC,5 W Liberty St,SAVANNAH,GA,31401,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,74,04/13/2020,Synovus Bank,GA-01
